idno,VideoName,Focus_response,Self_response,Other_response,Knowledge_response,Absorption_response,Words_response,Past_response,Deliberate_response,Sounds_response,Future_response,Problem_response,Distracting_response,Images_response,Emotion_response,Intrusive_response,Detailed_response,ProbeVersion,ProbeNumber,Run_time,correct_per_run,correct_overall,watched_before
subject_211,12 years_6m.mp4,10,1,1,1,1,1,1,1,10,1,1,2.6,4,1.6,1,1,4,1,140,3,14,1
subject_211,12 years_6m.mp4,1.4,1,9.9,1,1,1,1.5,1,2.1,1,1,1.2,1.6,5.3,4,1,4,2,220,3,14,1
subject_211,12 years_6m.mp4,10,1.3,10,10,1,1.1,6.9,1.3,2.8,1.9,1,1.6,7.9,5.3,1.4,8,4,3,310,3,14,1
subject_212,12 years_6m.mp4,1,1,9.6,8.1,6.1,5,10,10,7.3,1,5,3.2,2.2,1,2.2,3,7,1,120,3,17,2
subject_212,12 years_6m.mp4,1,1,9,8.4,7,6.5,9.6,9,3,3.6,4,2.3,3.9,1,3,5.1,7,2,210,3,17,2
subject_212,12 years_6m.mp4,1,1.7,8.7,9,5,8.1,9,5.5,3,7.2,7,3,4,2,6.3,4.5,7,3,280,3,17,2
subject_212,pulp_fiction_6m.mp4,1,2,8,1.7,5,8.8,1.5,2.4,1,1,6.8,1,6.9,5,6.3,5.5,8,1,110,4,17,2
subject_212,pulp_fiction_6m.mp4,1,1,7.4,2.3,5.4,9.3,1,1,1,1,7,1,1,5.5,3.8,3,8,2,180,4,17,2
subject_212,pulp_fiction_6m.mp4,1,1,8.5,8.4,8,8.3,3.9,3.2,7,1.5,1.2,1,2.7,5.8,3.8,2.1,8,3,260,4,17,2
subject_212,shawshank clip_6m.mp4,1,1,7.2,3.2,7.6,8.3,1,6.7,1,1.9,7.2,1,3.2,5.1,2.3,3,4,1,140,4,17,2
subject_212,shawshank clip_6m.mp4,1,1,8.1,4.8,8.8,8.5,9.2,3.6,1,1,6.5,1,1,5,1.7,5.4,4,2,220,4,17,2
subject_212,shawshank clip_6m.mp4,1,1,8.4,7.3,7.8,8.5,7,4,1,4.8,2.7,1,1,7.6,1.8,6,4,3,310,4,17,2
subject_212,back to the future_6m.mp4,1,2.2,7.5,9,7,8.3,8.8,5.6,2.1,1.7,2.3,1,4.2,5.2,1.8,3.6,2,1,70,3,17,1
subject_212,back to the future_6m.mp4,1,7.3,9.4,9.7,8,9.4,10,3.1,1,1.3,7.6,3,2.8,3.5,3,7.3,2,2,170,3,17,1
